q,D,R,CR
1,50.63567929,5.899383545,1.356073891
2,47.5122811,4.794616699,1.668537967
3,44.58281523,4.100769043,1.950853588
4,42.43964295,3.639282227,2.198235669
5,40.90763248,3.280059814,2.438979913
6,39.52485356,2.980865479,2.68378431
7,38.10081176,2.724853516,2.93593764
8,37.13502258,2.509002686,3.18851791
9,36.10059125,2.308807373,3.4649924
10,35.48647315,2.144439697,3.730578207
11,34.83998138,2.002258301,3.995488493
12,33.99724413,1.880340576,4.254548405
13,33.57167458,1.772613525,4.513110097
14,32.80081743,1.67565918,4.774240548
15,32.45917646,1.5909729,5.028369747
16,31.88936151,1.514709473,5.281540879
17,31.43735271,1.448730469,5.522076171
18,30.80743669,1.389068604,5.759254784
19,30.64765526,1.3359375,5.988304094
20,30.0675206,1.284820557,6.226550438
21,29.98270024,1.234893799,6.47828988
22,29.51492465,1.188964844,6.728542094
23,29.13367069,1.148956299,6.962840979
24,28.93059571,1.110809326,7.201956098
25,28.62445184,1.073455811,7.452565743
26,28.35564224,1.037231445,7.712839826
27,27.91272212,1.004638672,7.963061968
28,27.61800033,0.973236084,8.219999373
29,27.34348313,0.944641113,8.468824708
30,27.23404002,0.917205811,8.722142738
31,26.8907836,0.891998291,8.968627048
32,26.72751137,0.866394043,9.233673829
33,26.60489366,0.842895508,9.491093411
34,26.31710968,0.820007324,9.756010421
35,26.12627551,0.79864502,10.01696599
36,25.7246305,0.779022217,10.2692835
37,25.53447137,0.759643555,10.53125502
38,25.37203179,0.74118042,10.79359328
39,25.19628834,0.723876953,11.05160202
40,25.0041118,0.705627441,11.33742756
41,24.88421966,0.689788818,11.59775251
42,24.74439807,0.674530029,11.86010949
43,24.51593728,0.658538818,12.14810696
44,24.43655335,0.643554688,12.43095599
45,24.31148052,0.629882813,12.70077519
46,24.12684588,0.615112305,13.00575511
47,23.89290429,0.602630615,13.2751304
48,23.70431683,0.587585449,13.61504103
49,23.4626772,0.574157715,13.93345381
50,23.3684461,0.561340332,14.25160378
