q,D,R,CR
50,23.8870021,0.2293396,34.8827678
49,24.09590938,0.235534668,33.96527598
48,24.3383893,0.242370605,33.00730295
47,24.36267297,0.249084473,32.11761823
46,24.57388498,0.256225586,31.2224869
45,24.69557496,0.264007568,30.3021616
44,24.91777052,0.271820068,29.43123386
43,25.04179185,0.279998779,28.57155313
42,25.28046232,0.289520264,27.63191736
41,25.53556576,0.29876709,26.77671093
40,25.74866618,0.308135986,25.96256314
39,25.8760547,0.319091797,25.07115532
38,26.03416095,0.329040527,24.31311445
37,26.30584152,0.340606689,23.48750112
36,26.52938425,0.353515625,22.62983425
35,26.76838276,0.36605835,21.85443935
34,27.0262877,0.379943848,21.05574297
33,27.3198635,0.39440918,20.28350356
32,27.54571503,0.411621094,19.43534994
31,27.57842484,0.431030273,18.56018125
30,27.67584791,0.450073242,17.77488473
29,27.83128938,0.470916748,16.98814076
28,28.1232189,0.494903564,16.16476537
27,28.50105979,0.519744873,15.39216722
26,28.64118348,0.54788208,14.60168217
25,29.08698372,0.579772949,13.79850511
24,29.35457212,0.614440918,13.01996623
23,29.36608643,0.652832031,12.25430067
22,29.61697707,0.696044922,11.49351105
21,30.1550568,0.745758057,10.72733969
20,30.52135738,0.801177979,9.985296918
19,30.84544906,0.866027832,9.237578406
18,31.20586943,0.934814453,8.557848002
17,31.45402084,1.014129639,7.888537811
16,31.87229572,1.103973389,7.246551486
15,32.52021289,1.209503174,6.614286075
14,32.81024953,1.32611084,6.032678234
13,33.44769919,1.458679199,5.484413574
12,33.97636446,1.604980469,4.984484332
11,34.7827619,1.764801025,4.533088935
10,35.39768977,1.944641113,4.113869621
9,36.3147126,2.141418457,3.735841528
8,37.17349398,2.34375,3.413333333
7,38.13612654,2.530517578,3.161408587
6,39.37632264,2.738891602,2.920889602
5,40.71112136,2.977661133,2.686672406
4,42.6015795,3.279998779,2.439025298
3,44.89751233,3.696105957,2.164440114
2,47.62330051,4.365600586,1.832508458
1,50.82160989,5.469909668,1.462547005
